timestamp,open,high,low,close,adjusted_close,volume,dividend_amount
2020-06-30,51.16,52.77,50.82,52.61,52.61,42275739,0.0
2020-07-01,52.63,52.87,51.6,52.58,52.58,32372675,0.0
2020-07-02,53.03,53.19,52.05,52.34,52.34,29082825,0.0
2020-07-06,52.9,53.52,52.33,53.4,53.4,36790229,0.0
2020-07-07,53.28,54.17,52.86,52.93,52.93,32153104,0.0
2020-07-08,53.01,53.47,52.07,53.43,53.43,35609484,0.0
2020-07-09,53.52,57.58,53.31,57.26,57.26,87216465,0.0
2020-07-10,57.54,58.15,55.51,55.88,55.88,59877388,0.0
2020-07-13,56.68,58.35,53.38,53.59,53.59,57743221,0.0
2020-07-14,53.3,54.86,52.26,54.72,54.72,54890114,0.0
2020-07-15,54.96,55.37,53.59,55.34,55.34,42376779,0.0
2020-07-16,54.68,55.15,53.74,54.92,54.92,36887082,0.0
2020-07-17,55.31,55.81,54.68,55.04,55.04,34710407,0.0
2020-07-20,55.23,57.53,54.83,57.46,57.46,44710211,0.0
2020-07-21,57.81,58.5,56.32,57.0,57.0,44337135,0.0
2020-07-22,57.07,62.0,56.97,61.79,61.79,135159420,0.0
2020-07-23,61.63,62.33,58.6342,59.57,59.57,106829109,0.0
2020-07-24,64.18,69.94,64.05,69.4,69.4,205314531,0.0
2020-07-27,69.28,71.63,67.79,68.97,68.97,107918075,0.0
2020-07-28,68.1,69.8,67.02,67.61,67.61,94181374,0.0
2020-07-29,75.5,77.19,73.9,76.09,76.09,132969679,0.0
2020-07-30,75.37,78.96,75.07,78.2,78.2,80286888,0.0
2020-07-31,78.67,78.96,75.36,77.43,77.43,71699667,0.0
2020-08-03,78.19,78.5,77.06,77.67,77.67,42628817,0.0
2020-08-04,78.03,85.805,77.99,85.04,85.04,155676106,0.0
2020-08-05,84.96,86.32,83.32,85.31,85.31,65737306,0.0
2020-08-06,85.49,86.98,84.7801,86.71,86.71,53961739,0.0
2020-08-07,86.67,87.29,82.6702,84.85,84.85,66543157,0.0
2020-08-10,85.05,85.16,79.3221,82.24,82.24,70536143,0.0
2020-08-11,80.71,80.71,76.1,76.88,76.88,77877661,0.0
2020-08-12,78.43,82.88,77.55,82.61,82.61,88607829,0.0
2020-08-13,82.88,84.02,81.54,81.84,81.84,57407355,0.0
2020-08-14,81.81,83.24,80.88,81.3,81.3,42389477,0.0
2020-08-17,82.09,83.06,81.552,82.42,82.42,31210082,0.0
2020-08-18,82.8,82.88,81.03,81.66,81.66,30970483,0.0
2020-08-19,81.7757,81.85,80.45,81.09,81.09,37507391,0.0
2020-08-20,79.74,82.84,79.12,82.77,82.77,42948860,0.0
2020-08-21,83.29,84.41,82.23,83.81,83.81,48280318,0.0
2020-08-24,84.55,85.33,82.55,83.08,83.08,38036068,0.0
2020-08-25,83.36,86.62,82.35,86.35,86.35,49234399,0.0
2020-08-26,86.9694,87.72,85.2,86.02,86.02,47157273,0.0
2020-08-27,86.35,86.58,82.94,83.8,83.8,42194222,0.0
2020-08-28,84.3,86.04,84.19,85.55,85.55,40723268,0.0
2020-08-31,85.05,92.64,85.05,90.82,90.82,90655945,0.0
2020-09-01,91.92,92.51,90.1899,92.18,92.18,56117100,0.0
2020-09-02,94.01,94.28,88.74,90.22,90.22,50366918,0.0
2020-09-03,87.84,88.47,81.59,82.54,82.54,87462687,0.0
2020-09-04,81.45,84.39,76.33,82.01,82.01,82267760,0.0
2020-09-08,78.05,81.88,78.0,78.69,78.69,54955672,0.0
2020-09-09,81.4,82.44,79.28,81.91,81.91,54163878,0.0
2020-09-10,83.07,83.31,78.38,78.98,78.98,51499396,0.0
2020-09-11,79.82,79.99,75.04,76.34,76.34,54476830,0.0
